EDO concept,EDO label,EDO IRI,Mapping relation,External concept,External label,External IRI,External type,Alignment status,Confidence,Review status,Source standard,Rationale,Review note
edo:CertifiedMaxTension,Certified Max Tension,https://w3id.org/energy-domain/edo#CertifiedMaxTension,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedMaxWaterDepth,Certified Maximum Water Depth,https://w3id.org/energy-domain/edo#CertifiedMaxWaterDepth,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedMaximumTemperature,Certified Maximum Temperature,https://w3id.org/energy-domain/edo#CertifiedMaximumTemperature,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedMinimumBendingRadius,Certified Minimum Bending Radius,https://w3id.org/energy-domain/edo#CertifiedMinimumBendingRadius,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedMinimumTemperature,Certified Minimum Temperature,https://w3id.org/energy-domain/edo#CertifiedMinimumTemperature,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedThickness,Certified Thickness,https://w3id.org/energy-domain/edo#CertifiedThickness,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedVolume,Certified Volume,https://w3id.org/energy-domain/edo#CertifiedVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedWeight,Certified Weight,https://w3id.org/energy-domain/edo#CertifiedWeight,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CollapsePressure,Collapse Pressure,https://w3id.org/energy-domain/edo#CollapsePressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:ConfiguredSystem,Configured System,https://w3id.org/energy-domain/edo#ConfiguredSystem,closeMatch,lis:System,System,http://rds.posccaesar.org/ontology/lis14/rdl/System,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:ConnectionPoint,Connection Point,https://w3id.org/energy-domain/edo#ConnectionPoint,closeMatch,lis:Feature,Feature,http://rds.posccaesar.org/ontology/lis14/rdl/Feature,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignLife,Design Life,https://w3id.org/energy-domain/edo#DesignLife,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedBurstPressure,Designed Burst Pressure,https://w3id.org/energy-domain/edo#DesignedBurstPressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedCollapsePressure,Designed Collapse Pressure,https://w3id.org/energy-domain/edo#DesignedCollapsePressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedDiameter,Designed Diameter,https://w3id.org/energy-domain/edo#DesignedDiameter,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedDisplacedVolume,Designed Displaced Volume,https://w3id.org/energy-domain/edo#DesignedDisplacedVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedFatigueLife,Designed Fatigue Life,https://w3id.org/energy-domain/edo#DesignedFatigueLife,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedInternalVolume,Designed Internal Volume,https://w3id.org/energy-domain/edo#DesignedInternalVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedLength,Designed Length,https://w3id.org/energy-domain/edo#DesignedLength,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedMass,Designed Mass,https://w3id.org/energy-domain/edo#DesignedMass,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedMaxTension,Designed Max Tension,https://w3id.org/energy-domain/edo#DesignedMaxTension,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedMaxWaterDepth,Designed Maximum Water Depth,https://w3id.org/energy-domain/edo#DesignedMaxWaterDepth,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedMaximumTemperature,Designed Maximum Temperature,https://w3id.org/energy-domain/edo#DesignedMaximumTemperature,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedMinimumBendingRadius,Designed Minimum Bending Radius,https://w3id.org/energy-domain/edo#DesignedMinimumBendingRadius,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
